id,title,genres
35828,Black (2005),Drama
161326,Black (2015),Action|Drama
88,Black Sheep (1996),Comedy
55553,Black Sheep (2006),Comedy|Horror
142671,Black Sheep (1935),Drama|Romance
198267,Black Sheep (2018),Documentary
161018,Black Shampoo (1976),Action|Comedy|Crime|Drama|Thriller
176069,Black Sun (2005),Documentary
281968,Black Sun (2022),Sci-Fi
6900,Black Sunday (1977),Action|Drama|Thriller
3205,Black Sunday (La maschera del demonio) (1960),Horror
94283,Black Sun (Kuroi taiyô) (1964),Drama|Thriller
3832,"Black Sabbath (Tre volti della paura, I) (1963)",Horror
166322,Black Sabbath: Paranoid (2010),Documentary
199612,Black Sabbath: Never Say Die (1978),Documentary
205371,Black Sabbath: The End of The End (2017),Documentary
113085,Black Samurai (1977),Action|Crime
118280,Black Samson (1974),Action|Drama
6169,"Black Stallion Returns, The (1983)",Adventure|Children
6170,"Black Stallion, The (1979)",Adventure|Children|Drama
169026,Black Starlet (1974),Drama
140451,Black Scorpion (1995),Action|Sci-Fi
6908,"Black Scorpion, The (1957)",Sci-Fi
140453,Black Scorpion II: Aftershock (1997),Action|Adventure|Sci-Fi
137547,Black Snake (1973),Adventure
51091,Black Snake Moan (2006),Drama
232985,"Black Snake, la légende du serpent noir (2019)",Comedy
205885,Black Snow (1990),Drama
286045,Black Snow (2020),Drama
81591,Black Swan (2010),Drama|Thriller
60311,"Black Swan, The (1942)",Adventure
257297,Black Swarm (2007),Horror
115376,"Black Sleep, The (1956)",Horror|Sci-Fi
118706,Black Sea (2015),Adventure|Mystery|Thriller
152635,Black Sea (2009),(no genres listed)
132144,Black Souls (2014),Crime|Drama
280430,Black Something (2016),(no genres listed)
201831,Black Site (2018),Action|Horror
274189,Black Site (2022),Action|Thriller
237906,Black Spurs (1965),Western
421,Black Beauty (1994),Adventure|Children|Drama
8929,Black Beauty (1971),Children|Drama
117502,Black Beauty (1946),Children|Drama|Romance
230391,Black Beauty (2020),Drama
230231,Black Bear (2020),Drama
238058,Black Beach (2020),Action|Adventure|Drama|Fantasy|Thriller
34115,Black Belt Jones (1974),Action|Comedy
126251,Black Belly of the Tarantula (1971),Horror|Mystery|Thriller
52042,Black Book (Zwartboek) (2006),Drama|Thriller|War
225912,Black Box (2020),Horror|Sci-Fi|Thriller
252572,Black Box (2021),Mystery|Sci-Fi
253536,Black Box (2021),Drama|Thriller
70318,"Black Box, The (La boîte noire) (2005)",Mystery|Thriller
151787,Black Box BRD (2001),Documentary
225818,Black Boys (2020),Documentary
67792,"Black Balloon, The (2008)",Drama
209247,Black Balls (2009),Comedy
89714,Black Butterflies (2011),Drama
152743,Black Butterfly (2006),(no genres listed)
173499,Black Butterfly (2017),Thriller
187413,Black Button (2011),(no genres listed)
166163,Black Butler (2014),Action|Adventure|Crime|Drama|Fantasy|Horror|Mystery
193581,Black Butler: Book of the Atlantic (2017),Action|Animation|Comedy|Fantasy
234301,Black Butler: Book of Murder (2014),Adventure|Animation|Mystery
255251,Black Bud (2021),Crime|Drama|Thriller
113838,"Black Bird, The (1975)",Comedy
1869,Black Dog (1998),Action|Thriller
36426,Black Dragons (1942),Mystery|Thriller|War
177165,Black Dragon's Revenge (1975),Action
48142,"Black Dahlia, The (2006)",Crime|Drama|Mystery|Thriller
138540,Black Day Blue Night (1996),Crime|Drama|Romance|Thriller
72171,Black Dynamite (2009),Action|Comedy
81516,Black Death (2010),Adventure|Drama|Horror|Mystery
133029,Black Demons (1991),Horror
175847,Black Devil Doll from Hell (1984),Horror
167528,Black Diamond Express (1896),Documentary
2033,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)",Comedy|Romance
25807,"Black Cat, The (1934)",Adventure|Crime|Horror|Thriller
183925,Black Cat Mansion (1958),Drama|Horror
61116,Black Caesar (1973),Crime|Drama
102138,"Black Camel, The (Charlie Chan in the Black Camel) (1931)",Crime|Drama|Horror|Mystery|Thriller
269216,Black Candles (1982),Horror
5980,Black Christmas (1974),Horror|Mystery|Thriller
50147,Black Christmas (2006),Action|Horror|Thriller
210331,Black Christmas (2019),Horror|Mystery|Thriller
8909,Black Cloud (2004),Drama
288209,Black Clover: Sword of the Wizard King (2023),Action|Adventure|Animation|Fantasy
109390,"Black Coal, Thin Ice (Bai ri yan huo) (2014)",Crime|Drama|Mystery|Thriller
111872,Black Coffee (2014),Comedy|Romance
159526,Black Cobra Woman (1976),Drama|Horror
191465,Black Cop (2017),Drama
194732,Black Code (2016),Documentary
262241,Black Conflux (2019),Drama
138156,Black Circle Boys (1997),Horror
139677,Black Crescent Moon (2008),(no genres listed)
272051,Black Crab (2022),Action|Thriller
188563,Black Hole (2010),(no genres listed)
276229,Black Hole (2018),Drama
2034,"Black Hole, The (1979)",Children|Sci-Fi
213399,Black Hole Apocalypse (2018),Documentary
245688,Black Holes: The Edge of All We Know (2020),Documentary
180481,Black Hollow Cage (2017),Drama|Horror|Sci-Fi|Thriller
122687,Black Horizon (2002),(no genres listed)
143923,Black Horse Canyon (1954),(no genres listed)
144308,Black House (2007),Horror|Thriller
5010,Black Hawk Down (2001),Action|Drama|War
109708,Black Hand (1950),Crime|Film-Noir|Thriller
