id,title,genres
64754,Love (2005),Crime|Drama|Thriller
103721,Love (2011),Drama|Sci-Fi
123585,Love (2012),Drama|Romance
140162,Love (2015),Drama|Romance
175951,Love (1927),Drama
213255,Love (2016),Animation
268264,Love (2020),Thriller
178,Love & Human Remains (1993),Comedy|Drama
3885,Love & Sex (2000),Comedy|Drama|Romance
86550,Love & Savagery (2009),Drama|Romance
182483,Love & Saucers (2017),Documentary|Mystery|Romance|Sci-Fi
138414,Love & Slaps (2010),Comedy
134881,Love & Mercy (2014),Drama
137958,Love & Air Sex (2013),Comedy
154992,Love & Passion (1987),Drama
164282,Love & Peace (2015),Comedy|Drama|Fantasy
155874,Love & Friendship (2016),Drama|Romance
169138,Love & Loathing & Lulu & Ayano (2010),Drama
189113,Love & Bananas: An Elephant Story (2018),Documentary
214244,Love & Crime (1999),Comedy|Crime
240530,Love & Confusions (1997),Comedy
215405,Love & Taxes (2017),(no genres listed)
216523,Love & Debt (2018),Comedy|Drama
276239,Love & Gelato (2022),Comedy|Drama|Romance
270,Love Affair (1994),Drama|Romance
6837,Love Affair (1939),Comedy|Drama|Romance
245820,Love Affair (1932),Drama|Romance
90537,"Love Affair, or the Case of the Missing Switchboard Operator (Ljubavni slucaj ili tragedija sluzbenice P.T.T.) (1967)",Drama
236113,Love Affair(s) (2020),Drama|Romance
187727,Love After Love (2018),Drama
600,Love and a .45 (1994),Action|Comedy|Crime
5558,Love and a Bullet (2002),Action|Crime
7422,"Love and Anarchy (Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...') (1973)",Comedy|Drama|Romance
144088,Love and Anger (1969),Drama
241108,Love and Action in Osaka (1988),Action
1493,Love and Other Catastrophes (1996),Romance
189225,Love And Other Cults (2017),Comedy|Drama
55190,Love and Other Disasters (2006),Comedy|Romance
82167,Love and Other Drugs (2010),Comedy|Drama|Romance
124871,Love and Other Troubles (2012),Comedy|Romance
3814,Love and Death (1975),Comedy
1794,Love and Death on Long Island (1997),Comedy|Drama
145694,Love and Death in the Garden of the Gods (1972),Drama|Mystery
125866,Love and Distrust (2010),Drama|Romance
165691,Love and Diane (2002),Documentary
201186,Love and Dance (2009),Comedy|Drama
204112,Love and Duty (1931),(no genres listed)
3554,Love and Basketball (2000),Drama|Romance
129432,Love and Bullets (1979),Crime|Drama
