id,title,genres
142875,Star (2014),Comedy|Drama|Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
1613,Star Maps (1997),Drama
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
61160,Star Wars: The Clone Wars (2008),Action|Adventure|Animation|Sci-Fi
179819,Star Wars: The Last Jedi (2017),Action|Adventure|Fantasy|Sci-Fi
182857,Star Wars: The Legacy Revealed (2007),Documentary
208205,Star Wars: The Rise of Skywalker (2019),Action|Adventure|Sci-Fi
109713,Star Wars: Threads of Destiny (2014),Action|Adventure|Sci-Fi
195217,Star Wars: Dresca,Sci-Fi
223332,Star Wars: Galaxy's Edge - Adventure Awaits (2019),Documentary
228653,Star Wars: Greatest Moments (2015),Documentary
229523,Star Wars: Revelations,(no genres listed)
270216,Star Wars: Origins (2019),Action|Adventure|Sci-Fi
184593,Star Wars Downunder (2013),Sci-Fi
233497,Star Wars Rebels: Spark of Rebellion (2014),Action|Adventure|Animation|Children|Sci-Fi
248938,Star Wars Begins: A Filmumentary (2011),Documentary
254140,Star Wars Biomes (2021),Documentary|Sci-Fi
216073,Star Warp'd (1999),Comedy|Sci-Fi
89829,"Star Witness, The (1931)",Drama
68358,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
2393,Star Trek: Insurrection (1998),Action|Drama|Romance|Sci-Fi
5944,Star Trek: Nemesis (2002),Action|Drama|Sci-Fi|Thriller
107137,Star Trek: Of Gods and Men (2007),Action|Adventure|Sci-Fi
141402,Star Trek: Renegades (2015),Action|Adventure|Sci-Fi
257723,Star Trek: 30 Years and Beyond (1996),Documentary
268240,Star Trek: Enterprise - Uncharted Territory (2013),Documentary
1372,Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi
1373,Star Trek V: The Final Frontier (1989),Action|Sci-Fi
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
102445,Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi|IMAX
135569,Star Trek Beyond (2016),Action|Adventure|Sci-Fi
1750,Star Kid (1997),Adventure|Children|Fantasy|Sci-Fi
3217,"Star Is Born, A (1937)",Drama
25996,"Star Is Born, A (1954)",Drama|Musical
31284,"Star Is Born, A (1976)",Drama|Musical|Romance
202115,Star in the Dust (1956),Western
232747,Star in the Night (1945),Children|Drama|Western
26487,Star 80 (1983),Drama
26488,"Star Chamber, The (1983)",Action|Crime|Drama|Thriller
173555,Star Command (1996),Drama|Sci-Fi|Thriller
188809,Star Crystal (1986),Horror|Sci-Fi
67675,Star of Midnight (1935),Comedy|Mystery|Romance
264458,Star of David: Beauty Hunting (1979),Horror|Thriller
277754,Star of Hope (1978),Drama|War
121517,Star Odyssey (1979),Sci-Fi
70531,"Star Packer, The (1934)",Action|Romance|Western
224857,Star Paws (2016),Adventure|Children|Comedy
234653,Star Pilot (1966),Sci-Fi
140974,Star Spangled Girl (1971),Comedy
163334,Star Spangled Rhythm (1942),Comedy
291214,Star Spangled Banners (2013),Comedy|Drama
192635,Star Slammer (1986),Action|Comedy|Sci-Fi
160996,Star Games (1998),Adventure|Children|Sci-Fi
164580,Star Runner (2003),Action|Thriller
172861,Star Runners (2009),Horror|Sci-Fi
250042,Star Raiders: The Adventures of Saber Raine (2017),Adventure|Sci-Fi
173025,Star Force: Fugitive Alien II (1987),Sci-Fi
176325,Star Leaf (2015),Horror
223079,Star Light (2020),Horror|Mystery|Thriller
177585,Star Boys (2017),Drama
244654,Star Hunter (1996),Action|Horror|Sci-Fi
107903,Stars (1959),Drama|War
282357,Stars (2017),Drama
197,"Stars Fell on Henrietta, The (1995)",Drama
237776,Stars Fell on Alabama (2021),Comedy|Drama|Romance
283463,Stars Fell Again (2023),Comedy|Romance
2246,Stars and Bars (1988),Action|Comedy|Romance
125417,Stars and Stripes Forever (1952),Drama
125910,Stars Above (2012),(no genres listed)
279572,Stars at Noon (2022),Drama|Romance|Thriller
82680,Stars in My Crown (1950),Drama|Western
223346,Stars in the Sky: A Hunting Story (2018),Documentary
142268,Stars 80 (2012),Comedy
162002,Starship (1984),Sci-Fi
212321,Starship (2011),Action|Comedy|Sci-Fi|Thriller
1676,Starship Troopers (1997),Action|Sci-Fi
27793,Starship Troopers 2: Hero of the Federation (2004),Action|Horror|Sci-Fi|War
177119,Starship Troopers: Traitor of Mars (2017),Action|Animation|Sci-Fi
116000,Starship Invasions (1977),Sci-Fi
134069,Starship Rising (2014),Action|Sci-Fi
165701,Starship Apocalypse (2014),Action|Sci-Fi
6134,Starstruck (1982),Comedy|Musical
101260,StarStruck (2010),Comedy|Musical
7325,Starsky & Hutch (2004),Action|Comedy|Crime|Thriller
90769,Starsuckers (2009),Documentary
316,Stargate (1994),Action|Adventure|Sci-Fi
131050,Stargate SG-1 Children of the Gods - Final Cut (2009),Adventure|Sci-Fi|Thriller
212052,Stargirl (2020),Comedy|Drama|Romance
273457,StarGirl (2017),(no genres listed)
54259,Stardust (2007),Adventure|Comedy|Fantasy|Romance
110179,Stardust (1974),Drama
226706,Stardust (2020),Drama
2290,Stardust Memories (1980),Comedy|Drama
3976,Stardom (2000),Comedy|Drama
216201,StarDog and TurboCat (2019),Animation|Children|Comedy
3699,Starman (1984),Adventure|Drama|Romance|Sci-Fi
205004,Startup (2014),Drama
4304,Startup.com (2001),Documentary
262903,Startup: The Real Story (2021),Documentary
6528,Start the Revolution Without Me (1970),Comedy
147258,Start Liquidation (1983),Action|Crime|Drama
180921,Start Cheering (1938),Comedy
200852,Start All Over Again (1985),Comedy|Drama
26435,Starting Over (1979),Comedy|Romance
56508,Starting Out in the Evening (2007),Drama
207475,Starting a Skyscraper (1902),(no genres listed)
51694,Starter for 10 (2006),Drama|Romance
193037,Startling Proofs (1995),Documentary
225862,Start-Up (2019),Action|Drama
8398,Star! (1968),Musical
27488,Stark Raving Mad (2002),Action|Comedy|Crime
185103,Stark Fear (1962),Drama
34473,"Star, The (1952)",Drama
53453,Starcrash (a.k.a. Star Crash) (1978),Action|Adventure|Fantasy|Sci-Fi
195627,Starcrossed (2005),Drama
162394,Starchaser: The Legend of Orin (1985),Adventure|Animation|Children|Sci-Fi
93422,Starbuck (2011),Comedy
180565,Starbucking (2006),Documentary
254887,Starbright (2021),Adventure|Fantasy
98241,Starry starry night (Xing kong) (2011),Children|Drama|Fantasy
117434,Starry Eyes (2014),Horror
110110,Starred Up (2013),Drama
147843,Starring Adam West (2013),Documentary
286495,Starring Jerry As Himself (2023),Documentary|Drama|Thriller
100185,Starlet (2012),Drama
169040,Starless Dreams (2016),Documentary
122825,Starlift (1951),(no genres listed)
103695,"Starfighters, The (1964)",Drama
180919,Starfish (2016),Drama
200080,Starfish (2018),Drama|Horror|Sci-Fi
141501,Starve (2014),Horror|Thriller
174939,Starving in Suburbia (2014),Drama
176195,Starquest II (1996),Sci-Fi|Thriller
179385,Starhops (1978),Comedy
193369,Starie znakomie (1956),Animation
269812,Starian (2018),(no genres listed)
199001,Stare Into the Lights My Pretties (2017),Documentary
261453,star-crossed: the film (2021),(no genres listed)
