id,title,genres
160810,The Journey (2014),Children|Comedy|Drama
160820,The Journey (2003),(no genres listed)
173769,The Journey (2017),Drama
90,The Journey of August King (1995),Drama
265128,The Journey of Man: A Genetic Odyssey (2003),Documentary
168630,The Journey To Greenland (2016),Comedy
177853,The Journey Is the Destination (2016),Drama
116919,The Johnstown Flood (1926),Drama
270468,The John Cena Experience (2011),Action|Documentary|Drama
124509,The Job (2009),Comedy|Drama|Thriller
174993,The Job (2003),Action|Crime|Drama
128792,The Joy of Living (1961),Comedy
227680,The Joy of Life (2005),Documentary
185043,The Joy of Singing (2008),Comedy|Crime
226796,The Joy of Data (2016),Documentary
210737,The Joke Thief (2018),Drama
260499,The Jokers (1967),Comedy|Thriller
217497,The Jonestown Haunting (2020),Crime|Horror
246090,The Joneses Unplugged (2017),Drama|Romance
251578,The Jonsson Gang (2020),Comedy|Crime
224715,The Josephine Baker Story (1991),Drama|Romance
55451,The Jane Austen Book Club (2007),Comedy|Drama|Romance
276089,The Janes (2022),Documentary
115957,The Jayne Mansfield Story (1980),Drama
123868,The Jayhawkers (1959),Action|Western
121891,The Jackals (1967),Adventure|Western
124292,The Jackie Robinson Story (1950),Children|Drama
143319,The Jackpot (1950),Comedy
169794,The Jackpot! (1991),Adventure|Comedy
171333,The Jacksons: An American Dream (1992),Drama
172683,The Jack Bull (1999),Action|Drama|Western
216771,The Jack in the Box (2020),Horror
270320,The Jack in the Box: Awakening (2022),Horror
251820,The Jack of Diamonds (1949),Drama
123647,The Jade Mask (1945),Comedy|Crime|Drama
156162,The Jade Fox (1979),Action
187165,The Jade Raksha (1968),Action|Adventure
193964,The Jade Pendant (2017),Drama
175963,The Jazz Loft According to W. Eugene Smith (2016),(no genres listed)
221392,The Jazz Ambassadors (2018),Documentary
213527,The Japon (2019),Comedy
226058,The Jar (1971),Comedy
124635,The Juggler (1953),Drama|War
131268,The Judge Steps Out (1949),Comedy|Drama
208467,The Judge and the General (2008),(no genres listed)
266906,The Judge and Jake Wyler (1972),Mystery
261419,The Judgement (2021),Drama|Thriller
163565,The Jungle (2013),Thriller
172897,The Jungle (2012),Adventure|Comedy|Romance
137857,The Jungle Book (2016),Adventure|Drama|Fantasy
165965,The Jungle Book: Mowgli's Story (1998),(no genres listed)
226614,The Jungle School (2013),Drama
172971,The Junkman (1982),Action|Comedy|Crime|Thriller
260955,The Junk Shop (1965),Comedy
191457,The Juniper Tree (1990),Drama|Fantasy
236789,The Junior Defenders (2007),Comedy
145528,The Jukebox Kids (1959),(no genres listed)
191101,The Jurassic Games (2018),Sci-Fi|Thriller
255491,The Justice of Bunny King (2021),Drama
268278,The Jump (2020),Documentary
277928,The Jump (2018),Drama|Sci-Fi
131724,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary
233139,The Jinkx and DeLa Holiday Special (2020),(no genres listed)
277498,The Jinn (2013),Horror
147889,The Jigsaw Man (1984),Thriller
214782,The Jigsaw Murders (1989),Crime|Mystery|Thriller
182325,The Jihadis Next Door (2016),Documentary
224993,The Jitters (1989),Action|Comedy|Horror
135422,The Jewish Cardinal (2013),Drama
138496,The Jewel (2011),Drama
288969,The Jewel Thief (2023),Crime|Documentary
165893,The Jews (2016),Comedy
136369,The Jetsons Meet the Flintstones (1987),Animation|Children
176683,The Jetsons & WWE: Robo-WrestleMania! (2017),Animation|Children|Comedy
286343,The Jet Benny Show (1986),Comedy|Sci-Fi
222308,The Jester (1987),Drama
154236,The Jester's Tale (1964),Adventure|Comedy|Fantasy
207566,The Jester and the Queen (1988),Comedy
168138,The Jesus Trip (1971),Action|Drama
212389,The Jesus Rolls (2019),Comedy|Crime|Drama
261207,The Jesus Music (2021),Documentary
240648,The Jesuit (2020),Action|Crime|Thriller
216849,The Jesse Ventura Story (1999),Drama
159723,The Jennie Project (2001),(no genres listed)
245668,The Jensen Project (2010),Action|Adventure|Children|Fantasy|Sci-Fi
207161,The JK Years: A Political Trajectory (1980),Documentary
260785,The J Team (2021),(no genres listed)
192,The Show (1995),Documentary
139399,The Show (1927),Drama
225711,The Show,Drama|Fantasy
193415,"The Show of Shows: 100 Years of Vaudeville, Circuses and Carnivals (2015)",Documentary
204078,The Show Must Go On (2007),Action|Drama
218897,The Show Must Go On: The Queen + Adam Lambert Story (2019),Documentary
237842,The Show About the Show (2017),Comedy
198901,The Showdown (2011),Action|Drama
272867,The Shower (1979),Drama|Romance
26174,The Shooting (1966),Western
214738,The Shooting Party (1985),Drama|Romance
260949,The Shooting of Dan McGoo (1945),Animation|Comedy
186833,The Shooter (2013),Crime|Drama|Mystery|Thriller
118490,The Shock (1982),Action|Crime|Romance|Thriller
172151,The Shocking Miss Pilgrim (1947),Comedy|Romance
216187,The Shock of the Future (2019),Drama
121269,The Shortcut (2009),Horror|Mystery|Thriller
141137,The Short & Curlies (1987),Comedy
218067,The Short History of the Long Road (2019),Drama
280908,The Short Story of a Fox and a Mouse (2015),Animation
157621,The Shortest Day (1963),Comedy|War
127007,The Shoe (1998),(no genres listed)
176535,The Shogun's Samurai (1978),Action|Adventure|Drama
267796,The Shop at Sly Corner (1947),Drama
262531,The Shadow (1933),Mystery
70819,The Shadow of the Eagle (1932),Crime|Drama|Mystery|Thriller
124109,The Shadow of the Cat (1961),Horror|Mystery|Thriller
181455,The Shadow of Chikara (1977),Horror|Western
278276,The Shadow Over Innsmouth (1992),Horror
126229,The Shadow Men (1997),Horror|Sci-Fi|Thriller
135749,The Shadow in the North (2008),Adventure|Mystery|Thriller
271577,The Shadow In My Eye (2021),Drama|War
140495,The Shadow Strikes (1937),Mystery
167590,The Shadow Boxer (1974),Action
171907,The Shadow Effect (2017),Action|Thriller
277456,The Shadowless (2009),Drama|Mystery
283567,The Shadowless Tower (2023),Drama
228025,The Shade Shepherd (2020),Thriller
121731,The Shanghai Chest (1948),Comedy|Crime|Mystery|Thriller
124294,The Shanghai Cobra (1945),Mystery|Thriller
197031,The Shanty Where Santy Claus Lives (1933),Animation|Children|Comedy|Fantasy
139289,The Shattering (2015),Horror
147689,The Shaolin Drunken Monk (1982),Action
159922,The Shaolin Avengers (1976),Action
212631,The Shaolin Plot (1977),Action|Drama
148202,The Shark Hunter (1979),Adventure
163170,The Sharkfighters (1956),Adventure
211480,The Sharks (2019),Drama
228559,The Sharp End (2007),Adventure|Documentary
154616,The Shamer's Daughter (2015),Action|Adventure|Children|Fantasy
212991,The Shamer's Daughter II: The Serpent Gift (2019),Adventure|Fantasy
202411,The Shameless (2015),Drama|Romance
170119,The Shaman (2015),Drama|Sci-Fi|Thriller
158528,The Shallows (2016),Drama|Thriller
169842,The Shack (2017),Drama|Fantasy
180031,The Shape of Water (2017),Adventure|Drama|Fantasy
202163,"The Shakers: Hands to Work, Hearts to God (1985)",Documentary
212559,The Shakedown (1929),(no genres listed)
210687,The Shasta Triangle (2019),Fantasy|Sci-Fi|Thriller
230065,The Shaggy Dog (1994),(no genres listed)
247490,The Shabbos Goy (2019),Comedy
180263,The Shining (1997),Drama|Horror|Thriller
125361,The Shining Hour (1938),Drama|Romance
238808,The Shining Future (1944),Documentary
205853,The Shiny Shrimps (2019),Comedy
276225,The Shindig (1930),Animation
138190,The Shift (2013),Drama
144710,The Shift (2009),Documentary|Drama
268364,The Shift (2021),Drama|Thriller
152417,The Ship Was Loaded (1957),Comedy
211752,The Ship of Monsters (1960),Comedy|Horror|Sci-Fi
272361,The Ship That Died of Shame (1955),Crime|Drama
279174,The Ship ‘Night’ (1979),Drama
273093,The Shipment (2018),Drama|Sci-Fi
157464,The Shiralee (1957),Drama
169860,The Shimmering Beast (1982),Documentary
196973,The Shivering Truth (2018),Animation|Comedy
274731,The Shield of Honor (1927),Crime|Drama
155249,The Sheriff (1959),(no genres listed)
125377,The Sheriff of Fractured Jaw (1959),(no genres listed)
145849,The Sheriff Won't Shoot (1965),Western
198949,The Sheriff In Town (2017),Comedy|Crime|Drama
132494,The Sheik (2014),Documentary
149256,The Sheik Steps Out (1937),Comedy
262731,The Sheik and I (2012),Documentary
173089,The She-Creature (1956),Fantasy|Horror|Romance
228931,The She-Butterfly (1973),Drama|Horror
196125,The Shelter (2015),Drama|Horror|Thriller
229139,The Shell Seekers (1989),Drama
264872,The Shell Shocked Egg (1948),Animation
209751,The Shed (2019),Horror
265194,The She Beast (1966),Comedy|Horror|Thriller
127632,The Shuttered Room (1967),Horror
158605,The Shutka Book of Records (2005),Documentary
211371,The Shrunken City (1998),Children|Sci-Fi
3612,The Slipper and the Rose: The Story of Cinderella (1976),Adventure|Children|Fantasy|Musical|Romance
172999,The Slime People (1963),Horror|Sci-Fi
207866,The Slightest Gesture (1971),(no genres listed)
123227,The Slaughter (2006),Horror
139471,The Slaughterhouse Massacre (2005),Horror
126150,The Slap (1974),Comedy|Drama|Romance
149434,The Slanted Screen (2006),Documentary
194240,The Slayer (1982),Horror
201040,The Slave (1962),Adventure|Drama
139632,The Sleepwalker (2014),Drama
210963,The Sleepwalkers (2019),Drama
158549,The Sleeping Tiger (1954),Drama|Thriller
179051,The Sleeping Voice (2011),Drama|War
196149,The Sleeping Room (2014),Horror
220130,The Sleeping City (1950),Mystery
278642,The Sleeping Beast (2022),Drama|Thriller
177965,The Sleeper (2012),Comedy|Horror|Thriller
180411,The Sleep Curse (2017),Horror|Thriller
